rh.BA.volume	rh_BA1_volume	rh_BA2_volume	rh_BA3a_volume	rh_BA3b_volume	rh_BA4a_volume	rh_BA4p_volume	rh_BA6_volume	rh_BA44_volume	rh_BA45_volume	rh_V1_volume	rh_V2_volume	rh_MT_volume	rh_perirhinal_volume
7516/	1946.0	5831.0	1047.0	2939.0	3996.0	2313.0	16695.0	6915.0	9579.0	5784.0	14866.0	3141.0	2160.0
7690/	1505.0	4761.0	1175.0	2505.0	2433.0	2023.0	16696.0	5852.0	9228.0	4900.0	12410.0	3738.0	2446.0
7802/	1896.0	5111.0	1131.0	2870.0	3563.0	2019.0	16934.0	7743.0	8834.0	4124.0	10968.0	3008.0	2172.0
7803/	1626.0	4727.0	913.0	2265.0	2773.0	1662.0	18963.0	8342.0	8232.0	4584.0	11901.0	4065.0	1780.0
7895/	1509.0	3671.0	964.0	2635.0	2514.0	2074.0	14676.0	4621.0	6751.0	4153.0	11102.0	2815.0	1790.0
7904/	1699.0	4983.0	892.0	2677.0	3141.0	1893.0	19843.0	7526.0	8939.0	6173.0	15090.0	4194.0	1991.0
7906/	1530.0	3780.0	813.0	2398.0	2739.0	1826.0	14133.0	5654.0	7612.0	3567.0	11106.0	2763.0	1814.0
7953/	1483.0	3672.0	1147.0	2812.0	3537.0	2451.0	16937.0	7680.0	9001.0	4478.0	13020.0	2539.0	1523.0
7954/	2011.0	4849.0	1286.0	3534.0	4209.0	2778.0	21297.0	9050.0	9383.0	5668.0	15139.0	4006.0	1913.0
8155/	1857.0	4546.0	1128.0	3167.0	3106.0	2183.0	18058.0	7116.0	9928.0	5243.0	13564.0	3386.0	1794.0
8231/	2153.0	4993.0	930.0	2561.0	3456.0	1984.0	19644.0	6745.0	9061.0	4695.0	11918.0	4615.0	2228.0
