rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
6028/	2294.0	2049.0	5991.0	2487.0	1470.0	8579.0	14084.0	11269.0	2390.0	10276.0	5928.0	5915.0	4239.0	11610.0	1595.0	2951.0	3577.0	2198.0	3372.0	2257.0	8995.0	2677.0	10680.0	8543.0	1978.0	13323.0	18889.0	9754.0	10251.0	9273.0	890.0	2380.0	795.0	6335.0
6033/	2636.0	1053.0	4146.0	3781.0	1269.0	8411.0	13626.0	9015.0	2257.0	12018.0	7045.0	7800.0	4521.0	10107.0	2067.0	4153.0	4095.0	2057.0	4423.0	2221.0	7782.0	2369.0	12376.0	8355.0	1139.0	12989.0	21246.0	13047.0	10067.0	8433.0	1089.0	2441.0	767.0	6081.0
6034/	2295.0	2217.0	6948.0	4527.0	1884.0	9779.0	18214.0	11360.0	2573.0	12615.0	7304.0	7973.0	5232.0	13505.0	2229.0	3136.0	4595.0	2732.0	5510.0	2655.0	9148.0	3071.0	14127.0	11048.0	2469.0	16841.0	23881.0	13935.0	11759.0	8376.0	1186.0	1567.0	873.0	7933.0
6035/	2979.0	1882.0	9177.0	4348.0	1934.0	9462.0	21354.0	14731.0	2890.0	12895.0	8459.0	8867.0	6558.0	15058.0	2210.0	4562.0	4754.0	3008.0	5181.0	2810.0	10924.0	3474.0	17684.0	10933.0	2309.0	20432.0	27238.0	14038.0	14052.0	9096.0	1208.0	2171.0	1080.0	7992.0
6040/	2883.0	1949.0	7415.0	4890.0	1729.0	12885.0	21810.0	11091.0	2946.0	14754.0	7314.0	10041.0	5426.0	14418.0	2756.0	2814.0	5560.0	3269.0	6000.0	3289.0	10494.0	3211.0	15579.0	11691.0	2179.0	21840.0	28920.0	16711.0	14077.0	10452.0	1249.0	1960.0	973.0	8222.0
6044/	1689.0	2460.0	6419.0	3262.0	1519.0	8602.0	13174.0	8490.0	2173.0	12674.0	7039.0	7375.0	4922.0	9592.0	1722.0	3358.0	3769.0	2289.0	4049.0	2071.0	9706.0	3029.0	12586.0	8025.0	2420.0	14278.0	19496.0	10083.0	11161.0	7665.0	1130.0	1168.0	810.0	6669.0
6045/	2707.0	2975.0	7412.0	2724.0	2122.0	11477.0	18390.0	11308.0	2526.0	13996.0	7563.0	5720.0	6323.0	11718.0	2754.0	4225.0	4688.0	3256.0	4673.0	2079.0	10620.0	3093.0	16111.0	10534.0	2322.0	20413.0	23397.0	11262.0	11748.0	10504.0	1421.0	1697.0	1020.0	6516.0
6050/	737.0	339.0	1356.0	785.0	259.0	2272.0	4006.0	2051.0	197.0	3609.0	2606.0	1665.0	2007.0	2700.0	1419.0	2023.0	906.0	851.0	1298.0	588.0	3367.0	629.0	4490.0	5339.0	540.0	5615.0	6652.0	5646.0	3435.0	3745.0	670.0	226.0	288.0	1968.0
6057/	2209.0	2049.0	5736.0	2426.0	1231.0	7990.0	14155.0	10331.0	1647.0	10223.0	6626.0	6209.0	4700.0	10727.0	1919.0	3877.0	4070.0	2331.0	3664.0	1579.0	7119.0	2544.0	11919.0	8662.0	1499.0	15762.0	20388.0	11962.0	11243.0	8115.0	1134.0	1389.0	936.0	5771.0
6058/	1917.0	2444.0	6206.0	2897.0	1481.0	7446.0	14884.0	10202.0	2224.0	12824.0	6586.0	8011.0	4718.0	11122.0	2470.0	3835.0	4362.0	2694.0	4732.0	1859.0	9211.0	2643.0	13136.0	10510.0	2128.0	14438.0	21364.0	12915.0	10340.0	10121.0	1070.0	2017.0	630.0	6676.0
6060/	2000.0	2271.0	8824.0	3566.0	1987.0	8976.0	14188.0	9707.0	2633.0	10838.0	6857.0	7585.0	5313.0	11341.0	2058.0	4181.0	5483.0	2374.0	4019.0	2768.0	7979.0	3855.0	15136.0	9675.0	2046.0	15516.0	22548.0	11603.0	9793.0	12195.0	923.0	2454.0	645.0	7031.0
6102/	2310.0	3294.0	6582.0	3009.0	1664.0	8442.0	15411.0	9697.0	2004.0	10175.0	7060.0	6902.0	4793.0	11930.0	2286.0	4396.0	4216.0	2452.0	4223.0	2362.0	9143.0	3431.0	14753.0	9370.0	2448.0	17117.0	20247.0	12603.0	11310.0	7956.0	1130.0	1829.0	913.0	7421.0
6103/	1826.0	2338.0	5917.0	4169.0	1973.0	9993.0	15710.0	12395.0	2502.0	12879.0	7220.0	8704.0	6233.0	12920.0	2409.0	3671.0	4078.0	2953.0	4871.0	3281.0	9898.0	3674.0	14342.0	10428.0	2388.0	19047.0	23890.0	16696.0	11803.0	10957.0	1185.0	2303.0	947.0	7847.0
6105/	2791.0	1369.0	7819.0	4130.0	2011.0	9554.0	19948.0	11473.0	2257.0	13289.0	9769.0	8094.0	5940.0	15700.0	2266.0	4481.0	4619.0	3193.0	5390.0	3114.0	10760.0	2953.0	14142.0	11154.0	2110.0	20513.0	29040.0	14258.0	14689.0	10141.0	1282.0	2447.0	1331.0	7526.0
6138/	1843.0	1940.0	4761.0	2572.0	1524.0	9206.0	11378.0	8195.0	1885.0	8591.0	5649.0	5730.0	4994.0	8938.0	2038.0	3675.0	3085.0	2388.0	3030.0	1651.0	7331.0	2381.0	10815.0	7916.0	1913.0	12736.0	16696.0	9754.0	9899.0	9483.0	807.0	1619.0	707.0	4833.0
6149/	3771.0	2647.0	6566.0	4038.0	2161.0	11241.0	20568.0	10644.0	2924.0	11531.0	7852.0	6594.0	5981.0	14974.0	3163.0	3923.0	4349.0	3310.0	5377.0	2370.0	10695.0	3587.0	15783.0	10574.0	2580.0	19317.0	22770.0	15024.0	15333.0	12877.0	1219.0	2315.0	1136.0	7226.0
