rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
10667/	727.0	733.0	646.0	836.0	745.0	1710.0	1074.0	975.0	330.0	136.0	1453.0	942.0	156.0	692.0	2360.0	3756.0	275.0	384.0	1466.0	1096.0	1248.0	1962.0	796.0	2007.0	1766.0	1949.0	1647.0	1152.0	1368.0	1820.0	504.0	334.0	196.0	1172.0	343.0	574.0	1623.0	2067.0	316.0	217.0	929.0	2047.0	1199.0	1490.0	1730.0	623.0	300.0	709.0	947.0	652.0	482.0	1627.0	1625.0	1387.0	569.0	1943.0	649.0	1074.0	575.0	760.0	1545.0	271.0	633.0	1068.0	1732.0	969.0	1656.0	1086.0	816.0	276.0	779.0	690.0	4467.0	221.0	81084.5
10813/	775.0	698.0	771.0	1023.0	748.0	1899.0	1000.0	960.0	252.0	200.0	1318.0	1061.0	203.0	928.0	2882.0	4515.0	326.0	366.0	1936.0	1062.0	1501.0	2129.0	941.0	1758.0	2181.0	1909.0	1905.0	1335.0	1743.0	1647.0	463.0	214.0	211.0	1038.0	323.0	541.0	1688.0	1613.0	254.0	106.0	1006.0	1992.0	1046.0	1912.0	2038.0	788.0	317.0	724.0	926.0	792.0	362.0	1919.0	1724.0	1570.0	513.0	1969.0	1061.0	953.0	574.0	844.0	1255.0	370.0	474.0	933.0	1252.0	1017.0	1592.0	1058.0	1130.0	235.0	982.0	1021.0	3648.0	187.0	84606.7
10903/	855.0	1071.0	791.0	1106.0	898.0	2458.0	1079.0	1276.0	383.0	248.0	1428.0	938.0	266.0	611.0	3519.0	5028.0	316.0	443.0	1780.0	1343.0	1843.0	2045.0	1146.0	2138.0	2759.0	2624.0	1864.0	1617.0	1975.0	2305.0	570.0	147.0	361.0	1263.0	465.0	714.0	2071.0	2288.0	261.0	132.0	1103.0	2080.0	1442.0	1760.0	2203.0	1002.0	521.0	1002.0	1043.0	945.0	338.0	1583.0	1732.0	2060.0	374.0	2707.0	566.0	1437.0	416.0	825.0	1521.0	309.0	448.0	1173.0	2013.0	906.0	2209.0	1256.0	948.0	273.0	1021.0	1128.0	5117.0	231.0	98118.8
10943/	627.0	1037.0	793.0	798.0	629.0	1558.0	950.0	812.0	277.0	140.0	1532.0	749.0	200.0	722.0	2582.0	4470.0	270.0	339.0	1048.0	1184.0	1448.0	1955.0	825.0	1550.0	1876.0	2031.0	1634.0	1179.0	1602.0	1866.0	475.0	151.0	290.0	1131.0	368.0	655.0	1374.0	1689.0	235.0	118.0	991.0	2047.0	1123.0	1364.0	2007.0	862.0	316.0	683.0	861.0	684.0	327.0	1581.0	1214.0	1632.0	268.0	2345.0	615.0	1111.0	505.0	675.0	1317.0	299.0	408.0	872.0	1282.0	951.0	1432.0	1189.0	850.0	120.0	846.0	661.0	3517.0	193.0	78314.6
5202/	617.0	1093.0	859.0	694.0	582.0	1711.0	1027.0	799.0	252.0	208.0	1396.0	922.0	181.0	806.0	1960.0	4415.0	307.0	387.0	1050.0	1112.0	1338.0	1637.0	821.0	1625.0	1834.0	1797.0	1686.0	1068.0	1602.0	1976.0	530.0	219.0	215.0	983.0	460.0	480.0	1329.0	1783.0	254.0	196.0	926.0	2582.0	1205.0	1538.0	1857.0	892.0	367.0	792.0	889.0	434.0	351.0	1588.0	1124.0	1567.0	314.0	2271.0	671.0	897.0	567.0	537.0	1345.0	370.0	489.0	836.0	1093.0	809.0	1368.0	1235.0	839.0	192.0	935.0	770.0	3550.0	182.0	77592.8
5302/	820.0	852.0	956.0	1017.0	719.0	1780.0	973.0	1030.0	397.0	181.0	1394.0	749.0	228.0	711.0	2878.0	3725.0	311.0	353.0	1426.0	965.0	1303.0	1739.0	927.0	1519.0	2307.0	1699.0	1767.0	1261.0	1753.0	1970.0	520.0	267.0	237.0	1064.0	463.0	457.0	1400.0	1732.0	210.0	87.0	1053.0	2182.0	1100.0	1707.0	1932.0	791.0	456.0	632.0	971.0	641.0	245.0	1615.0	1410.0	1364.0	233.0	2119.0	748.0	909.0	308.0	522.0	1405.0	278.0	493.0	880.0	1403.0	1100.0	1811.0	1085.0	991.0	328.0	936.0	795.0	3479.0	196.0	80263.5
5305/	559.0	944.0	785.0	963.0	808.0	1931.0	1047.0	914.0	263.0	190.0	1186.0	881.0	253.0	892.0	2120.0	3852.0	252.0	365.0	1466.0	861.0	1315.0	2003.0	810.0	1526.0	1968.0	1650.0	1488.0	1211.0	1478.0	1572.0	449.0	219.0	317.0	1276.0	357.0	594.0	1319.0	1988.0	311.0	119.0	973.0	1787.0	1009.0	1870.0	2016.0	767.0	399.0	797.0	956.0	639.0	276.0	1542.0	1070.0	1378.0	258.0	1816.0	590.0	887.0	481.0	656.0	1327.0	274.0	533.0	749.0	1412.0	1205.0	1366.0	1076.0	559.0	208.0	668.0	575.0	3882.0	207.0	76710.3
5306/	555.0	832.0	840.0	775.0	764.0	1510.0	1044.0	970.0	262.0	127.0	994.0	1182.0	257.0	1006.0	2332.0	3641.0	319.0	317.0	1363.0	928.0	884.0	1898.0	485.0	1449.0	1771.0	1555.0	1260.0	1279.0	1504.0	1282.0	409.0	228.0	202.0	1041.0	364.0	431.0	1211.0	1769.0	283.0	232.0	897.0	2125.0	944.0	1326.0	1924.0	898.0	308.0	624.0	930.0	406.0	473.0	1939.0	1132.0	1573.0	308.0	1720.0	402.0	986.0	317.0	375.0	1389.0	250.0	423.0	735.0	1376.0	781.0	1434.0	1296.0	780.0	167.0	615.0	232.0	3757.0	185.0	72580.9
5464/	758.0	1094.0	858.0	851.0	767.0	1614.0	1110.0	828.0	408.0	198.0	1357.0	906.0	189.0	567.0	2597.0	4387.0	352.0	435.0	1534.0	1179.0	1252.0	1681.0	781.0	1499.0	1816.0	1607.0	1357.0	1112.0	1750.0	1721.0	383.0	192.0	222.0	967.0	337.0	729.0	1523.0	1690.0	251.0	109.0	1131.0	2489.0	1108.0	1557.0	1948.0	781.0	353.0	788.0	777.0	714.0	268.0	1352.0	1153.0	1764.0	311.0	1800.0	835.0	984.0	327.0	605.0	1406.0	223.0	445.0	892.0	1190.0	935.0	1534.0	1230.0	961.0	221.0	766.0	532.0	3804.0	152.0	78310.8
5505/	795.0	958.0	760.0	957.0	960.0	1690.0	1013.0	890.0	320.0	149.0	1428.0	932.0	238.0	763.0	2573.0	4029.0	366.0	431.0	1840.0	1265.0	1506.0	2053.0	1008.0	1810.0	1823.0	2077.0	1391.0	1316.0	1629.0	1958.0	423.0	285.0	259.0	1163.0	438.0	717.0	1338.0	2084.0	323.0	102.0	1074.0	2219.0	1105.0	1578.0	2076.0	625.0	465.0	856.0	953.0	868.0	423.0	1331.0	1648.0	1952.0	508.0	2037.0	751.0	1057.0	666.0	561.0	1532.0	336.0	480.0	858.0	1393.0	1022.0	1674.0	1276.0	896.0	234.0	812.0	644.0	3638.0	209.0	83817.5
