lh.BA.area	lh_BA1_area	lh_BA2_area	lh_BA3a_area	lh_BA3b_area	lh_BA4a_area	lh_BA4p_area	lh_BA6_area	lh_BA44_area	lh_BA45_area	lh_V1_area	lh_V2_area	lh_MT_area	lh_perirhinal_area	lh_WhiteSurfArea_area
5771/	761.0	3247.0	656.0	1665.0	972.0	893.0	6045.0	1831.0	2390.0	2530.0	5806.0	1585.0	576.0	92472.4
5825/	583.0	2758.0	676.0	1526.0	984.0	823.0	5979.0	1762.0	1967.0	1566.0	4475.0	1267.0	661.0	84414.3
5843/	445.0	1569.0	632.0	1233.0	748.0	764.0	4543.0	1323.0	1830.0	1956.0	4209.0	1239.0	434.0	65456.3
5844/	563.0	2219.0	691.0	1477.0	781.0	810.0	5816.0	1310.0	2072.0	1951.0	5295.0	1132.0	689.0	78219.1
5899/	644.0	2575.0	730.0	1442.0	863.0	779.0	6129.0	1429.0	1485.0	2494.0	4620.0	1081.0	548.0	81352.5
5900/	625.0	3459.0	785.0	1866.0	1021.0	996.0	7349.0	1539.0	2072.0	2595.0	5652.0	1190.0	605.0	96138.6
5902/	698.0	2933.0	705.0	1704.0	1269.0	999.0	7163.0	1745.0	2469.0	2660.0	6515.0	1370.0	609.0	97024.3
5953/	628.0	2357.0	657.0	1402.0	951.0	906.0	5864.0	1670.0	1749.0	2577.0	5301.0	1152.0	551.0	82904.1
5955/	475.0	2378.0	610.0	1440.0	842.0	830.0	5599.0	1386.0	1974.0	2047.0	4786.0	1198.0	632.0	81993.5
5977/	650.0	2483.0	763.0	1824.0	1010.0	902.0	5705.0	1858.0	1879.0	2312.0	5294.0	1370.0	625.0	89646.0
6010/	677.0	2432.0	591.0	1509.0	1085.0	805.0	6188.0	1695.0	2734.0	2241.0	5374.0	1179.0	687.0	83429.7
6026/	633.0	2505.0	708.0	1806.0	1005.0	896.0	6432.0	1748.0	2377.0	2432.0	5436.0	1238.0	749.0	96649.8
6028/	531.0	2381.0	562.0	1443.0	831.0	691.0	5515.0	1470.0	1512.0	2167.0	4600.0	1150.0	675.0	79694.3
6033/	596.0	2328.0	606.0	1508.0	919.0	760.0	5672.0	1606.0	1833.0	2199.0	5303.0	1362.0	660.0	80679.8
6034/	733.0	2789.0	679.0	1584.0	938.0	881.0	7426.0	2099.0	2822.0	2751.0	6123.0	1419.0	673.0	97184.4
6035/	728.0	2683.0	801.0	1761.0	1174.0	1010.0	7997.0	1795.0	2767.0	2833.0	6453.0	1368.0	656.0	104949.0
6040/	798.0	2882.0	749.0	1779.0	1017.0	995.0	7229.0	1739.0	2504.0	3104.0	6867.0	1357.0	721.0	102653.0
6044/	568.0	2485.0	745.0	1670.0	936.0	1008.0	6428.0	1385.0	1952.0	2223.0	5471.0	1205.0	518.0	84925.9
6045/	650.0	2734.0	696.0	1719.0	1074.0	932.0	7342.0	1918.0	2728.0	2393.0	5574.0	1684.0	697.0	92977.2
6057/	542.0	2176.0	550.0	1313.0	1080.0	729.0	5241.0	1624.0	1957.0	1940.0	4578.0	987.0	595.0	77721.9
6058/	585.0	2386.0	674.0	1462.0	873.0	865.0	5245.0	1578.0	1999.0	2245.0	6011.0	1176.0	552.0	82657.2
6060/	642.0	2715.0	638.0	1473.0	1087.0	831.0	6175.0	1543.0	2281.0	2642.0	5571.0	1489.0	634.0	88666.3
6102/	585.0	2365.0	749.0	1691.0	1088.0	943.0	6937.0	1653.0	2549.0	2250.0	4675.0	1170.0	588.0	90007.0
6103/	693.0	2955.0	710.0	1792.0	987.0	911.0	7581.0	1770.0	2207.0	2720.0	5980.0	1571.0	642.0	99193.8
6105/	658.0	2792.0	682.0	1639.0	1141.0	1003.0	6188.0	1685.0	2326.0	2806.0	6259.0	1258.0	685.0	95325.4
6138/	519.0	1975.0	590.0	1290.0	873.0	701.0	5322.0	1795.0	1853.0	1914.0	4792.0	1226.0	491.0	74017.3
6149/	614.0	2632.0	672.0	1675.0	984.0	930.0	6886.0	1745.0	2096.0	2356.0	5300.0	1631.0	843.0	97969.6
6162/	479.0	2333.0	621.0	1319.0	795.0	721.0	4944.0	1376.0	1566.0	2072.0	4714.0	1076.0	454.0	71750.3
6163/	740.0	2749.0	663.0	1736.0	953.0	862.0	6795.0	1640.0	1950.0	2136.0	5321.0	1395.0	609.0	91186.3
6165/	697.0	2544.0	788.0	1808.0	1234.0	1030.0	7659.0	1946.0	2903.0	2422.0	5988.0	1879.0	634.0	105727.0
6167/	542.0	1885.0	659.0	1392.0	893.0	817.0	5795.0	1652.0	1987.0	1966.0	5577.0	1374.0	560.0	83302.4
6199/	671.0	2358.0	746.0	1595.0	1130.0	891.0	6289.0	1610.0	1980.0	2429.0	5556.0	1461.0	649.0	87579.7
6226/	587.0	2604.0	611.0	1569.0	1003.0	756.0	6638.0	1573.0	1861.0	1917.0	5329.0	1025.0	625.0	86118.8
6227/	762.0	3210.0	608.0	1592.0	967.0	778.0	7118.0	1927.0	2271.0	2445.0	5728.0	1406.0	634.0	95634.2
6228/	649.0	3103.0	801.0	1751.0	994.0	987.0	6444.0	1486.0	2592.0	3163.0	6306.0	1231.0	768.0	97440.2
6229/	692.0	3452.0	688.0	1877.0	1210.0	943.0	7736.0	2079.0	2474.0	3147.0	6200.0	993.0	658.0	105970.0
6291/	519.0	2078.0	597.0	1324.0	807.0	668.0	5423.0	1518.0	1498.0	1695.0	4444.0	1087.0	528.0	68964.8
6347/	602.0	2355.0	803.0	1759.0	1052.0	1050.0	7231.0	1538.0	2730.0	2468.0	5706.0	1533.0	656.0	89705.6
6348/	594.0	2340.0	685.0	1536.0	950.0	916.0	5966.0	1356.0	2068.0	2064.0	5470.0	1313.0	616.0	83757.6
6503/	717.0	3176.0	753.0	1836.0	1152.0	1033.0	6017.0	2063.0	2390.0	2942.0	6387.0	1582.0	825.0	101491.0
6512/	582.0	2019.0	609.0	1385.0	968.0	816.0	6263.0	1451.0	2079.0	2225.0	5073.0	1465.0	588.0	82933.5
6613/	690.0	2632.0	877.0	1830.0	1228.0	1128.0	6799.0	1932.0	2577.0	2392.0	6201.0	1420.0	596.0	100446.0
6712/	573.0	2656.0	509.0	1242.0	688.0	582.0	4648.0	1142.0	1348.0	2422.0	4743.0	1317.0	617.0	71885.2
6730/	563.0	2480.0	607.0	1377.0	1099.0	897.0	6172.0	1507.0	2578.0	1946.0	4823.0	1035.0	694.0	84863.3
6731/	671.0	2914.0	624.0	1648.0	1050.0	871.0	6784.0	1628.0	2149.0	2338.0	5306.0	1160.0	707.0	92394.6
6732/	548.0	2653.0	605.0	1595.0	918.0	878.0	6125.0	1528.0	1896.0	2045.0	5453.0	1061.0	657.0	84750.9
6738/	739.0	2740.0	826.0	1832.0	1247.0	1168.0	8541.0	2172.0	2361.0	3019.0	6958.0	1560.0	827.0	110014.0
