lh.BA.volume	lh_BA1_volume	lh_BA2_volume	lh_BA3a_volume	lh_BA3b_volume	lh_BA4a_volume	lh_BA4p_volume	lh_BA6_volume	lh_BA44_volume	lh_BA45_volume	lh_V1_volume	lh_V2_volume	lh_MT_volume	lh_perirhinal_volume
7341/	1655.0	4874.0	912.0	2950.0	2942.0	2242.0	16969.0	4684.0	5745.0	3798.0	10957.0	3306.0	2294.0
7366/	2013.0	7266.0	911.0	3483.0	3279.0	2206.0	20746.0	4412.0	7153.0	4619.0	12340.0	3765.0	3164.0
7367/	2902.0	7385.0	1647.0	5929.0	3906.0	3276.0	25254.0	6171.0	7238.0	5189.0	15620.0	4245.0	2885.0
7368/	2071.0	6170.0	964.0	3936.0	3255.0	2313.0	19872.0	5375.0	6485.0	4839.0	12902.0	3208.0	2352.0
7516/	2252.0	6053.0	859.0	3457.0	3919.0	1927.0	22553.0	5383.0	6515.0	4569.0	13960.0	2867.0	2355.0
7690/	1698.0	5548.0	798.0	3075.0	2763.0	1628.0	18656.0	3747.0	6968.0	3873.0	13455.0	3459.0	3504.0
7802/	1915.0	6144.0	952.0	3653.0	3598.0	2013.0	21265.0	4619.0	5877.0	3615.0	12037.0	3844.0	3231.0
7803/	1790.0	6071.0	951.0	3018.0	3115.0	2075.0	20548.0	4345.0	7371.0	3872.0	12135.0	4187.0	3034.0
7895/	1514.0	5240.0	874.0	2981.0	2595.0	2110.0	14112.0	3026.0	4342.0	3494.0	10827.0	3094.0	3197.0
7904/	1962.0	6306.0	801.0	3796.0	3351.0	1827.0	22460.0	4688.0	6791.0	5335.0	13284.0	4020.0	2033.0
7906/	1743.0	5721.0	767.0	3159.0	2525.0	1775.0	17354.0	3538.0	5486.0	3235.0	10135.0	3071.0	2599.0
7953/	1813.0	5041.0	1049.0	3646.0	3852.0	2529.0	20428.0	5250.0	5778.0	3700.0	12561.0	3135.0	2513.0
7954/	2145.0	6043.0	1118.0	4514.0	4349.0	2816.0	24973.0	6294.0	7569.0	5337.0	16137.0	4837.0	3504.0
8155/	2376.0	6932.0	1002.0	3906.0	3703.0	2497.0	21705.0	5134.0	7749.0	4236.0	12682.0	2898.0	3084.0
8231/	1970.0	6313.0	860.0	3438.0	2992.0	1971.0	23267.0	4740.0	6651.0	3924.0	13279.0	4687.0	3303.0
