rh.BA.area	rh_BA1_area	rh_BA2_area	rh_BA3a_area	rh_BA3b_area	rh_BA4a_area	rh_BA4p_area	rh_BA6_area	rh_BA44_area	rh_BA45_area	rh_V1_area	rh_V2_area	rh_MT_area	rh_perirhinal_area	rh_WhiteSurfArea_area
7690/	486.0	2246.0	728.0	1332.0	890.0	925.0	5640.0	2332.0	3344.0	2863.0	5982.0	1818.0	453.0	89159.5
7802/	588.0	2358.0	749.0	1435.0	1170.0	889.0	5643.0	2956.0	3174.0	2642.0	5257.0	1454.0	425.0	95166.3
7803/	590.0	2275.0	629.0	1201.0	919.0	714.0	6038.0	2990.0	2990.0	2491.0	5501.0	1710.0	377.0	93907.7
7895/	469.0	1561.0	704.0	1216.0	758.0	832.0	4742.0	1711.0	2257.0	1806.0	4554.0	1139.0	374.0	71296.6
7904/	510.0	2090.0	645.0	1351.0	985.0	768.0	5297.0	2300.0	2442.0	2969.0	5489.0	1546.0	465.0	84847.6
7906/	466.0	1616.0	673.0	1295.0	886.0	769.0	4605.0	2194.0	2712.0	2154.0	4924.0	1200.0	405.0	79360.4
7953/	430.0	1698.0	738.0	1288.0	1202.0	906.0	5508.0	2784.0	2933.0	2206.0	5423.0	1122.0	349.0	83872.3
7954/	546.0	2035.0	867.0	1625.0	1129.0	1025.0	5815.0	2854.0	2698.0	2633.0	6107.0	1581.0	412.0	96161.3
8155/	486.0	1850.0	735.0	1445.0	930.0	842.0	5133.0	2212.0	3315.0	2384.0	5377.0	1146.0	428.0	87375.0
8231/	635.0	2097.0	684.0	1286.0	1092.0	855.0	6204.0	2414.0	2964.0	2249.0	5019.0	1607.0	450.0	93506.1
